image_id,sticker_id,query_id,provider,source_page,image_url,local_path,width,height,quality_score,relevance_score,duplicate_group,license_status,status,executed_query,metadata_score,decision_reason,evaluated_at,file_sha256,file_size_bytes,downloaded_at,download_error,preflight_status,preflight_error,preflight_content_type,preflight_content_length,preflight_checked_at,preflight_retry_count,preflight_last_retry_at,retry_requested_at,retry_requested_reason,retry_forced_at,retry_forced_reason,last_retry_mode
IMG-SL-01-001-wikimedia-33c6d1c3,SL-01-001,Q-SL-01-001-01,wikimedia,https://commons.wikimedia.org/wiki/File:Boca_vs_san_lorenzo_1983.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Boca_vs_san_lorenzo_1983.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,724,451,,0.5,dup-50733031a861,clear,needs_review,San Lorenzo de Almagro,0.775,has_image_url;preflight_passed;has_source_page;meets_min_dimensions;relevance:0.5000;license:clear,2026-05-10T05:14:07.322302+00:00,,,,,passed,,image/jpeg,90825,2026-05-10T05:14:07.733611+00:00,0,,,,,,
IMG-SL-01-001-wikimedia-acfb977f,SL-01-001,Q-SL-01-001-01,wikimedia,https://commons.wikimedia.org/wiki/File:Sede_San_Lorenzo_de_Almagro_de_Av._de_Mayo.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Sede_San_Lorenzo_de_Almagro_de_Av._de_Mayo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,output/raw/nace-el-ciclon/SL-01-001/IMG-SL-01-001-wikimedia-acfb977f.jpg,2240,1344,,1.0,dup-edf2eeb64dcf,attribution_required,exported,San Lorenzo de Almagro,1.0,has_image_url;preflight_passed;has_source_page;meets_min_dimensions;meets_preferred_dimensions;relevance:1.0000;license:attribution_required,2026-05-10T05:14:07.322302+00:00,291fe7f1a60e37eef8eed25aec66fc7fcb832070f47e1bcb7676d75dded603bf,866800,2026-05-10T05:14:08.714657+00:00,,passed,,image/jpeg,866800,2026-05-10T05:14:07.908126+00:00,0,,,,,,
IMG-SL-01-001-wikimedia-c0c94590,SL-01-001,Q-SL-01-001-01,wikimedia,https://commons.wikimedia.org/wiki/File:Carasucias_San_Lorenzo_de_Almagro_1964.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Carasucias_San_Lorenzo_de_Almagro_1964.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,374,436,,1.0,dup-45a9cf928b1e,clear,technical_rejected,San Lorenzo de Almagro,0.0,low_resolution:374x436,2026-05-10T05:14:07.322302+00:00,,,,,,,,,,,,,,,,
IMG-SL-01-001-wikimedia-c27f67c5,SL-01-001,Q-SL-01-001-02,wikimedia,https://commons.wikimedia.org/wiki/File:Carasucias_San_Lorenzo_de_Almagro_1964.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Carasucias_San_Lorenzo_de_Almagro_1964.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,374,436,,1.0,dup-45a9cf928b1e,clear,technical_rejected,San Lorenzo de Almagro,0.0,low_resolution:374x436,2026-05-10T05:14:07.322302+00:00,,,,,,,,,,,,,,,,
IMG-SL-01-001-wikimedia-e9ec09d5,SL-01-001,Q-SL-01-001-02,wikimedia,https://commons.wikimedia.org/wiki/File:Boca_vs_san_lorenzo_1983.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Boca_vs_san_lorenzo_1983.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,724,451,,0.5,dup-50733031a861,clear,needs_review,San Lorenzo de Almagro,0.775,has_image_url;preflight_passed;has_source_page;meets_min_dimensions;relevance:0.5000;license:clear,2026-05-10T05:14:07.322302+00:00,,,,,passed,,image/jpeg,90825,2026-05-10T05:14:08.084181+00:00,0,,,,,,
IMG-SL-01-001-wikimedia-fb7db61c,SL-01-001,Q-SL-01-001-02,wikimedia,https://commons.wikimedia.org/wiki/File:Sede_San_Lorenzo_de_Almagro_de_Av._de_Mayo.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Sede_San_Lorenzo_de_Almagro_de_Av._de_Mayo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,2240,1344,,1.0,dup-edf2eeb64dcf,attribution_required,needs_review,San Lorenzo de Almagro,1.0,has_image_url;preflight_passed;has_source_page;meets_min_dimensions;meets_preferred_dimensions;relevance:1.0000;license:attribution_required,2026-05-10T05:14:07.322302+00:00,,,,,passed,,image/jpeg,866800,2026-05-10T05:14:08.240604+00:00,0,,,,,,
IMG-SL-01-002-general-web-23fd37ca,SL-01-002,Q-SL-01-002-05,general_web,https://es.wikipedia.org/wiki/Cartuja_de_San_Martino,https://upload.wikimedia.org/wikipedia/commons/1/15/Castel_Sant%27_Elmo_-_panoramio_%281%29.jpg,,2000,1123,,0.1111,dup-ddad0db42859,needs_manual_review,semantic_rejected,San Lorenzo Padre Lorenzo Massa en los origenes del club San Lorenzo imagen,0.0,low_relevance:0.1111,2026-05-11T13:00:04.461741+00:00,,,,,,,,,,,,,,,,
IMG-SL-01-002-general-web-397ed8e2,SL-01-002,Q-SL-01-002-03,general_web,https://es.wikipedia.org/wiki/Peronismo,https://upload.wikimedia.org/wikipedia/commons/d/d8/Eva%26Juan.jpg,,437,567,,0.0,dup-68268c8e6d3b,needs_manual_review,semantic_rejected,San Lorenzo Padre Lorenzo Massa en los origenes del club foto imagen,0.0,low_relevance:0.0000,2026-05-11T13:00:04.461741+00:00,,,,,,,,,,,,,,,,
IMG-SL-01-002-general-web-4b13b7da,SL-01-002,Q-SL-01-002-03,general_web,https://es.wikipedia.org/wiki/Fernando_Alonso,https://upload.wikimedia.org/wikipedia/commons/3/33/Fernando_Alonso_racing_at_the_2024_F1_in_Schools_World_Finals_%28cropped%29.jpg,,572,672,,0.0,dup-3d9bea554810,needs_manual_review,semantic_rejected,San Lorenzo Padre Lorenzo Massa en los origenes del club foto imagen,0.0,low_relevance:0.0000,2026-05-11T13:00:04.461741+00:00,,,,,,,,,,,,,,,,
IMG-SL-01-002-general-web-88c73c76,SL-01-002,Q-SL-01-002-03,general_web,https://es.wikipedia.org/wiki/Estilizaci%C3%B3n_de_la_violencia,https://upload.wikimedia.org/wikipedia/commons/7/79/Flaying_of_rebels.jpg,,1312,840,,0.0,dup-32d49c345fce,needs_manual_review,semantic_rejected,San Lorenzo Padre Lorenzo Massa en los origenes del club foto imagen,0.0,low_relevance:0.0000,2026-05-11T13:00:04.461741+00:00,,,,,,,,,,,,,,,,
