route_id,query_id,sticker_id,provider,priority,status,reason
R-Q-SL-01-025-01-local-folder,Q-SL-01-025-01,SL-01-025,local_folder,1,pending,local_source_enabled
R-Q-SL-01-025-01-wikimedia,Q-SL-01-025-01,SL-01-025,wikimedia,2,pending,"category_rule,historical_query"
R-Q-SL-01-025-01-general-web,Q-SL-01-025-01,SL-01-025,general_web,3,pending,baseline
R-Q-SL-01-025-01-image-search,Q-SL-01-025-01,SL-01-025,image_search,4,pending,baseline
R-Q-SL-01-025-02-local-folder,Q-SL-01-025-02,SL-01-025,local_folder,1,pending,local_source_enabled
R-Q-SL-01-025-02-wikimedia,Q-SL-01-025-02,SL-01-025,wikimedia,2,pending,category_rule
R-Q-SL-01-025-02-general-web,Q-SL-01-025-02,SL-01-025,general_web,3,pending,baseline
R-Q-SL-01-025-02-image-search,Q-SL-01-025-02,SL-01-025,image_search,4,pending,baseline
R-Q-SL-01-025-03-local-folder,Q-SL-01-025-03,SL-01-025,local_folder,1,pending,local_source_enabled
R-Q-SL-01-025-03-wikimedia,Q-SL-01-025-03,SL-01-025,wikimedia,2,pending,category_rule
R-Q-SL-01-025-03-general-web,Q-SL-01-025-03,SL-01-025,general_web,3,pending,baseline
R-Q-SL-01-025-03-image-search,Q-SL-01-025-03,SL-01-025,image_search,4,pending,baseline
R-Q-SL-01-025-04-local-folder,Q-SL-01-025-04,SL-01-025,local_folder,1,pending,local_source_enabled
R-Q-SL-01-025-04-wikimedia,Q-SL-01-025-04,SL-01-025,wikimedia,2,pending,"category_rule,historical_query"
R-Q-SL-01-025-04-general-web,Q-SL-01-025-04,SL-01-025,general_web,3,pending,baseline
R-Q-SL-01-025-04-image-search,Q-SL-01-025-04,SL-01-025,image_search,4,pending,baseline
R-Q-SL-01-025-05-local-folder,Q-SL-01-025-05,SL-01-025,local_folder,1,pending,local_source_enabled
R-Q-SL-01-025-05-wikimedia,Q-SL-01-025-05,SL-01-025,wikimedia,2,pending,category_rule
R-Q-SL-01-025-05-general-web,Q-SL-01-025-05,SL-01-025,general_web,3,pending,baseline
R-Q-SL-01-025-05-image-search,Q-SL-01-025-05,SL-01-025,image_search,4,pending,baseline
